,id,name,level,family,lon,lat,status
4255,mori1273,Morike,language,Arawakan,-73.126831,-5.634573,Extinct
4256,mori1278,Morisyen,language,Indo-European,57.5517,-20.2613,Living
4257,morm1235,Mor (Mor Islands),language,Austronesian,135.95,-2.87055,Living
4258,moro1242,Moroccan Sign Language,language,Sign Languages,-7.69607,32.139,Living
4259,moro1281,Morom,language,Central Sudanic,17.6465,12.1461,Living
4260,moro1284,Morokodo,language,Central Sudanic,30.0229,5.5103,Severely endangered
4261,moro1285,Moro,language,Heiban,30.2138,10.9194,Definitely endangered
4262,moro1286,Morouas,language,Austronesian,166.891,-15.3498,Living
4263,moro1287,Moronene,language,Austronesian,121.824,-4.62361,Living
4264,moro1289,Morori,language,Missing,140.688,-8.5692,Severely endangered
4265,moro1292,Moroccan Arabic,language,Afro-Asiatic,-7.5,32.5,Living
4266,mort1237,Mortlockese,language,Austronesian,151.617,7.35087,Definitely endangered
4267,moru1253,Moru,language,Central Sudanic,30.3287,5.1232,Living
4268,mose1249,Moseten-Chimane,language,Missing,-67.8376,-14.6445,Vulnerable
4269,mosi1247,Mosiro,language,Nilotic,37.1869,-5.43471,Extinct
4270,mosi1248,Mosimo,language,Nuclear Trans New Guinea,145.605,-4.95226,Severely endangered
4271,mosk1236,Moskona,language,East Bird's Head,133.145,-1.62201,Living
4272,moss1236,Mossi,language,Atlantic-Congo,-1.17278,10.4524,Living
4273,mota1237,Mota,language,Austronesian,167.689,-13.8174,Living
4274,motl1237,Motlav,language,Austronesian,167.673,-13.6535,Critically endangered
4275,motu1246,Motu,language,Austronesian,147.424,-9.67492,Living
4276,mouk1239,Mouk-Aria,language,Austronesian,149.158,-5.71155,Living
4277,moun1252,Mountain Koiali,language,Koiarian,147.384,-9.06973,Living
4278,movi1243,Movima,language,Missing,-65.6348,-13.8115,Severely endangered
4279,moya1235,Moyadan Itneg,language,Austronesian,120.702,17.4232,Living
4280,moyo1238,Moyon Naga,language,Sino-Tibetan,94.3421,24.4793,Definitely endangered
4281,moza1235,Mozambican Sign Language,language,Sign Languages,34.613,-19.811,Living
4282,moza1249,Mozarabic,language,Indo-European,-1.79724,37.8763,Extinct
4283,mpad1242,Mpade,language,Afro-Asiatic,14.5833,12.4609,Living
4284,mpie1238,Mpiemo,language,Atlantic-Congo,15.5246,3.45776,Living
4285,mpii1239,Mpi,language,Sino-Tibetan,100.21,18.1717,Definitely endangered
4286,mpon1254,Mpongmpong,language,Atlantic-Congo,14.866,3.14015,Living
4287,mpot1240,Mpoto,language,Atlantic-Congo,34.7127,-11.1377,Living
4288,mpot1241,Mpotovoro,language,Austronesian,167.232,-15.8988,Living
4289,mpra1235,Mpra,language,Atlantic-Congo,-1.25,8.867,Extinct
4290,mpuo1241,Mpuono,language,Atlantic-Congo,19.4269,-5.21134,Living
4291,mpur1239,Mpur,language,Missing,133.166,-0.7489,Living
4292,mroc1235,Mro Chin,language,Sino-Tibetan,93.995,19.71,Living
4293,mruu1242,Mru,language,Sino-Tibetan,90.6317,24.154,Severely endangered
4294,mser1242,Mser,language,Afro-Asiatic,15.0373,11.9765,Living
4295,mtir1235,Mt. Iriga Agta,language,Austronesian,123.463,13.4566,Living
4296,mtir1236,Mt. Iraya Agta,language,Austronesian,123.552,13.4588,Definitely endangered
4297,mual1241,Mualang,language,Austronesian,111.077,0.31083,Living
4298,muba1238,Mubami,language,Inland Gulf,142.998,-7.5501,Living
4299,mubi1246,Mubi (Chad),language,Afro-Asiatic,19.5902,12.6893,Living
4300,muda1235,Muda,language,Sino-Tibetan,100.6,21.95,Vulnerable
4301,mudb1240,Mudbura,language,Pama-Nyungan,132.329,-16.7694,Severely endangered
4302,mudh1235,Mudhili Gadaba,language,Dravidian,83.378,18.276,Critically endangered
4303,mudu1241,Mudu Koraga,language,Dravidian,75.1061,12.6224,Living
4304,mudu1242,Muduapa,language,Austronesian,149.489,-4.69751,Living
4305,mufi1238,Mufian,language,Nuclear Torricelli,142.955,-3.57932,Living
4306,mugo1238,Mugom,language,Sino-Tibetan,79.4664,30.8983,Living
4307,muin1242,Muinane,language,Boran,-72.4249,-0.8652,Definitely endangered
4308,mukh1238,Mukha-Dora,language,Dravidian,81.5663,17.4467,Living
4309,muku1242,Mukulu,language,Afro-Asiatic,18.1822,11.8644,Living
4310,mula1253,Mulam,language,Tai-Kadai,108.928,24.8151,Vulnerable
4311,mula1254,Mulaha,language,Kwalean,147.45,-9.68333,Extinct
4312,mull1237,Mullukmulluk,language,Northern Daly,130.615,-13.2973,Critically endangered
4313,mull1244,Mullu Kurumba,language,Dravidian,76.7,11.29,Living
4314,mulu1243,Muluridyi,language,Pama-Nyungan,145.329,-17.0601,Extinct
4315,mumm1238,Mum,language,Nuclear Trans New Guinea,145.059,-4.83462,Living
4316,muna1247,Muna,language,Austronesian,122.541,-5.40419,Living
4317,munc1235,Mun Chin,language,Sino-Tibetan,94.3929,20.289,Living
4318,mund1320,Mundari,language,Austroasiatic,87.1792,25.0391,Living
4319,mund1321,Munda,language,Austroasiatic,87.1792,25.0391,Unknown
4320,mund1325,Mundang,language,Atlantic-Congo,14.4751,9.83195,Living
4321,mund1326,Mundu,language,Atlantic-Congo,29.9967,4.22755,Living
4322,mund1327,Mundani,language,Atlantic-Congo,9.91533,5.68073,Living
4323,mund1328,Mundabli,language,Atlantic-Congo,10.2704,6.59969,Living
4324,mund1330,Munduruku,language,Tupian,-57.691,-8.41095,Vulnerable
4325,mund1334,Mundat,language,Afro-Asiatic,8.76875,9.15151,Living
4326,mung1266,Mungaka,language,Atlantic-Congo,10.0294,5.89752,Living
4327,mung1269,Munggui,language,Austronesian,135.918,-1.66773,Living
4328,mung1272,Mungkip,language,Nuclear Trans New Guinea,146.747,-6.46208,Living
4329,muni1257,Munit,language,Nuclear Trans New Guinea,145.548,-5.24329,Living
4330,muni1258,Muniche,language,Missing,-76.2811,-5.80546,Critically endangered
4331,munj1244,Munji,language,Indo-European,70.9404,35.9321,Severely endangered
4332,muns1251,Munsee,language,Algic,-81.9166,42.5968,Critically endangered
4333,muon1246,Muong,language,Austroasiatic,105.186,20.7374,Living
4334,mura1271,Muratayak,language,Nuclear Trans New Guinea,146.54,-5.74416,Living
4335,muri1259,Murik (Malaysia),language,Austronesian,114.434,3.7519,Living
4336,muri1260,Murik (Papua New Guinea),language,Lower Sepik-Ramu,144.166,-3.86959,Vulnerable
4337,murk1238,Murkim,language,Lepki-Murkim,140.913,-4.07548,Living
4338,murl1244,Murle,language,Surmic,33.988,6.69756,Living
4339,murr1258,Murrinh-Patha,language,Southern Daly,129.702,-14.7485,Living
4340,murs1242,Mursi,language,Surmic,36.0971,5.69801,Vulnerable
4341,muru1266,Muruwari,language,Pama-Nyungan,146.546,-28.9618,Extinct
4342,muru1273,Murupi,language,Nuclear Trans New Guinea,145.606,-5.0245,Living
4343,muru1274,Murui Huitoto,language,Huitotoan,-73.8331,-1.13669,Extinct
4344,musa1263,Musasa,language,Indo-European,87.5304,26.7329,Living
4345,musa1265,Musar,language,Nuclear Trans New Guinea,145.413,-4.70258,Living
4346,musa1266,Musak,language,Nuclear Trans New Guinea,145.197,-5.37407,Living
4347,muse1242,Musey,language,Afro-Asiatic,15.4115,9.81612,Living
4348,musg1254,Musgu,language,Afro-Asiatic,15.1065,10.8439,Living
4349,mush1238,Mushungulu,language,Atlantic-Congo,42.6626,0.00689,Living
4350,musi1241,Musi (Malay),language,Austronesian,103.945,-2.93987,Living
4351,musk1256,Muskum,language,Afro-Asiatic,15.4113,11.5697,Extinct
4352,musl1236,Muslim Tat,language,Indo-European,49.3384,38.8719,Severely endangered
4353,muso1238,Musom,language,Austronesian,146.93,-6.53817,Definitely endangered
4354,muss1246,Mussau-Emira,language,Austronesian,149.624,-1.44105,Definitely endangered
4355,muth1236,Muthuvan,language,Dravidian,76.7328,10.3524,Living
4356,mutu1242,Mutu,language,Austronesian,148.014,-5.79405,Living
4357,muya1239,Muya,language,Sino-Tibetan,102.205,29.8226,Vulnerable
4358,muya1243,Muyang,language,Afro-Asiatic,14.2125,10.8605,Living
4359,muyu1244,Muyuw,language,Austronesian,152.731,-9.195,Living
4360,muzi1235,Muzi,language,Sino-Tibetan,103.464,23.086,Definitely endangered
4361,mvan1238,Mvanip,language,Atlantic-Congo,11.1843,6.75724,Critically endangered
4362,mvub1239,Mvuba,language,Central Sudanic,29.6656,0.7398,Living
4363,mwag1236,Mwaghavul,language,Afro-Asiatic,8.96522,9.47205,Living
4364,mwal1237,Mwali Comorian,language,Atlantic-Congo,43.741,-12.3164,Living
4365,mwan1247,Mwani,language,Atlantic-Congo,40.4601,-12.5821,Living
4366,mwan1250,Mwan,language,Mande,-5.94577,7.87533,Living
4367,mwat1237,Mwatebu,language,Austronesian,151.066,-10.0271,Definitely endangered
4368,mwer1247,Mwera (Nyasa),language,Atlantic-Congo,34.8959,-11.3304,Living
4369,mwer1248,Mwera (Chimwera),language,Atlantic-Congo,38.8762,-9.75639,Living
4370,mwim1241,Mwimbi-Muthambi,language,Atlantic-Congo,37.5939,-0.11968,Living
4371,myen1241,Myene,language,Atlantic-Congo,9.50247,-1.48741,Living
4372,mzie1235,Mzieme Naga,language,Sino-Tibetan,93.71,25.4779,Vulnerable
4373,naaa1245,Na (India),language,Sino-Tibetan,96.163,27.791,Living
4374,naab1241,Naaba,language,Sino-Tibetan,87.3409,27.6926,Living
4375,naas1242,Naasioi,language,South Bougainville,155.632,-6.46022,Living
4376,naba1253,Naba,language,Central Sudanic,18.0777,12.7868,Living
4377,naba1256,Nabak,language,Nuclear Trans New Guinea,146.966,-6.42709,Living
4378,nabi1239,Nabi,language,Nuclear Torricelli,142.329,-3.52828,Living
4379,nach1240,Nachering,language,Sino-Tibetan,86.7001,27.4202,Severely endangered
4380,nade1244,Nadeb,language,Nadahup,-66.3068,-1.24449,Definitely endangered
4381,nafa1258,Nafaanra,language,Atlantic-Congo,-2.51001,8.00522,Living
4382,nafi1237,Nafi,language,Austronesian,146.815,-6.43306,Severely endangered
4383,nafr1241,Nafri,language,Sentani,140.727,-2.65036,Living
4384,nafu1238,Nafusi,language,Afro-Asiatic,9.83329,33.4398,Severely endangered
4385,naga1394,Naga Pidgin,language,Indo-European,93.4438,25.2508,Living
4386,naga1399,Nagarchal,language,Dravidian,75.8519,25.5399,Unknown
4387,nage1237,Nage,language,Austronesian,121.31,-8.70513,Living
4388,nagu1244,Nagumi,language,Atlantic-Congo,13.4264,8.7162,Extinct
4389,naha1261,Nahali,language,Indo-European,74.827,21.43,Definitely endangered
4390,naha1262,Nahari,language,Indo-European,81.9775,20.4118,Living
4391,naii1241,Nai,language,Kwomtari,141.273,-3.73034,Living
4392,najd1235,Najdi Arabic,language,Afro-Asiatic,42.1773,30.3371,Living
4393,naka1260,Nakara,language,Maningrida,134.327,-12.0765,Severely endangered
4394,naka1262,Nakanai,language,Austronesian,150.888,-5.59931,Living
4395,naka1263,Naka'ela,language,Austronesian,128.516,-2.85543,Extinct
4396,naka1264,Nakama,language,Nuclear Trans New Guinea,146.782,-6.41424,Living
4397,naka1265,Nakai,language,Nuclear Trans New Guinea,140.512,-5.19377,Living
4398,nake1240,Nake,language,Nuclear Trans New Guinea,145.655,-5.09087,Living
4399,naki1238,Naki,language,Atlantic-Congo,10.2378,6.62784,Living
4400,nakw1240,Nakwi,language,Left May,141.601,-4.27412,Living
4401,nalc1240,Nalca,language,Nuclear Trans New Guinea,139.883,-4.26068,Living
4402,nali1244,Nalik,language,Austronesian,151.332,-2.94411,Living
4403,nali1245,Nali,language,Austronesian,147.202,-2.14273,Living
4404,nalo1235,Nalogo,language,Austronesian,165.8,-10.8,Living
4405,nalu1239,Naluo Yi,language,Sino-Tibetan,102.598,25.97,Vulnerable
4406,nalu1240,Nalu,language,Atlantic-Congo,-14.8188,11.0397,Definitely endangered
4407,nama1264,Nama (Namibia),language,Khoe-Kwadi,17.9767,-25.0747,Extinct
4408,nama1266,Nama (Papua New Guinea),language,Morehead-Wasur,141.706,-8.66403,Living
4409,nama1267,Namat,language,Morehead-Wasur,141.641,-8.827,Living
4410,nama1268,Namakura,language,Austronesian,168.569,-16.8979,Living
4411,namb1291,Nambya,language,Atlantic-Congo,26.0394,-19.0899,Living
4412,namb1293,Nambo,language,Morehead-Wasur,141.931,-8.74501,Living
4413,name1237,Na-Meo,language,Unclassified,106.435,22.4189,Living
4414,nami1249,Namibian Sign Language,language,Sign Languages,17.048,-22.6,Living
4415,nami1256,Namia,language,Sepik,141.788,-3.85538,Living
4416,nami1258,Namiae,language,Koiarian,148.166,-9.18089,Living
