Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table QS607SC - National Statistics Socio-economic Classification (NS-SeC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 to 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 to 74,1. Higher managerial and professional occupations,1.1 Large employers and higher managerial occupations,L1 Employers in large organisations,L2 Higher managerial,1.2 Higher professional occupations,L3.1 (Traditional) - Employees,L3.2 (New) - Employees,L3.3 (Traditional) - Self-employed,L3.4 (New) - Self-employed,2 Lower managerial and professional occupations,L4 Lower professional and higher technical occupations,L4.1 (Traditional) - Employees,L4.2 (New) - Employees,L4.3 (Traditional) - Self-employed,L4.4 (New) - Self-employed,L5 Lower managerial,L6 Higher supervisory,3 Intermediate occupations,L7.1 Intermediate clerical and administrative,L7.2 Intermediate sales and service,L7.3 Intermediate technical and auxiliary,L7.4 Intermediate engineering,4 Small employers and own account workers,L8 Employers in small organisations,L8.1 Employers in small organisations (non-professional),L8.2 Employers in small organisations (agriculture),L9 Own account workers,L9.1 Own account workers (non-professional),L9.2 Own account workers (agriculture),5 Lower supervisory and technical occupations,L10 Lower supervisory,L11.1 Lower technical craft,L11.2 Lower technical process operative,6 Semi-routine occupations,L12.1 Semi-routine sales,L12.2 Semi-routine service,L12.3 Semi-routine technical,L12.4 Semi-routine operative,L12.5 Semi-routine agriculture,L12.6 Semi-routine clerical,L12.7 Semi-routine childcare,7 Routine occupations,L13.1 Routine sales and service,L13.2 Routine production,L13.3 Routine technical,L13.4 Routine operative,L13.5 Routine agricultural,8 Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
East Renfrewshire,"64,758","9,325","1,733",39,"1,694","7,592","4,072","2,181","1,201",138,"17,050","11,796","9,704","1,053",814,225,"3,319","1,935","9,506","6,288","2,239",695,284,"5,041","1,770","1,734",36,"3,271","3,173",98,"3,645","1,902","1,561",182,"7,379","2,558","2,813",434,472,28,757,317,"4,138",832,306,"1,492","1,477",31,"2,438","1,586",852,"6,236"
"Edinburgh, City of","370,018","53,884","7,218",92,"7,126","46,666","26,680","13,789","5,065","1,132","82,687","56,968","43,936","5,972","5,913","1,147","16,526","9,193","45,802","30,347","10,272","3,761","1,422","22,539","6,348","6,273",75,"16,191","15,994",197,"20,526","12,253","7,649",624,"40,614","12,577","18,727","1,494","2,194",127,"3,919","1,576","30,823","5,881","1,764","8,155","14,751",272,"15,648","10,281","5,367","57,495"
Eilean Siar,"20,234","1,179",260,2,258,919,606,145,152,16,"4,436","3,161","2,803",97,233,28,699,576,"2,340","1,273",649,288,130,"2,261",608,498,110,"1,653","1,347",306,"1,898","1,076",727,95,"3,400",784,"1,755",86,436,23,204,112,"3,068",336,184,"1,378","1,087",83,644,303,341,"1,008"
Falkirk,"116,368","7,996","1,826",14,"1,812","6,170","3,029","2,506",503,132,"23,386","15,077","12,648","1,467",784,178,"4,894","3,415","16,454","9,607","4,679","1,649",519,"7,665","2,195","2,136",59,"5,470","5,259",211,"11,413","5,565","4,938",910,"19,216","6,061","6,845","1,616","2,420",91,"1,487",696,"17,890","1,917","1,546","5,969","8,364",94,"5,655","3,267","2,388","6,693"
Fife,"271,911","20,853","4,462",37,"4,425","16,391","9,354","4,935","1,779",323,"54,158","35,067","29,635","2,821","2,204",407,"10,510","8,581","35,221","19,684","10,934","3,246","1,357","18,707","5,594","5,175",419,"13,113","12,368",745,"23,673","13,130","9,255","1,288","45,061","13,399","17,854","3,462","5,571",688,"2,899","1,188","36,580","4,574","4,029","12,621","15,038",318,"13,461","7,738","5,723","24,197"
Glasgow City,"457,863","36,265","4,662",40,"4,622","31,603","19,695","8,385","2,995",528,"77,521","54,468","44,294","4,679","4,737",758,"14,290","8,763","52,689","31,435","14,008","5,695","1,551","22,445","6,174","6,148",26,"16,271","16,136",135,"31,307","17,232","12,711","1,364","70,197","21,241","31,575","4,462","6,440",74,"4,932","1,473","63,096","8,410","6,842","17,452","30,087",305,"41,472","29,107","12,365","62,871"
Highland,"171,557","12,900","2,630",21,"2,609","10,270","5,967","2,317","1,772",214,"36,751","23,802","20,154","1,251","2,147",250,"7,542","5,407","19,842","11,595","5,080","2,257",910,"19,570","5,579","4,926",653,"13,991","11,748","2,243","17,261","9,858","6,494",909,"28,967","8,880","11,934","1,239","2,852",675,"2,196","1,191","22,019","3,820","1,160","8,434","8,184",421,"5,869","3,488","2,381","8,378"
Inverclyde,"60,893","4,049",824,6,818,"3,225","1,592","1,169",413,51,"11,256","7,789","6,889",503,331,66,"1,912","1,555","8,620","4,627","2,711",936,346,"3,126",932,912,20,"2,194","2,122",72,"4,702","2,403","1,956",343,"10,841","3,063","4,627",586,"1,573",26,700,266,"10,053",974,"1,575","2,988","4,452",64,"3,424","2,315","1,109","4,822"
Midlothian,"61,511","4,800",917,6,911,"3,883","2,056","1,374",360,93,"11,950","7,263","5,948",726,482,107,"2,575","2,112","9,751","5,994","2,346","1,076",335,"4,674","1,307","1,235",72,"3,367","3,247",120,"5,232","2,848","2,203",181,"10,316","3,141","4,463",661,692,130,805,424,"8,540","1,099",535,"3,144","3,622",140,"2,577","1,608",969,"3,671"
Moray,"68,410","4,079","1,333",9,"1,324","2,746","1,607",618,452,69,"13,939","8,172","6,979",400,714,79,"2,257","3,510","8,285","4,259","2,989",745,292,"6,168","1,991","1,679",312,"4,177","3,411",766,"7,384","4,230","2,717",437,"12,780","3,744","4,618",696,"2,289",352,784,297,"9,873","1,381","1,100","3,431","3,841",120,"2,232","1,339",893,"3,670"
North Ayrshire,"102,348","6,070","1,366",7,"1,359","4,704","2,474","1,528",596,106,"18,806","12,301","10,390",994,779,138,"3,809","2,696","12,877","7,393","3,781","1,237",466,"7,524","2,296","2,180",116,"5,228","4,879",349,"10,250","5,221","3,959","1,070","17,835","5,315","7,590","1,279","2,078",143,"1,139",291,"14,808","1,974","1,692","4,520","6,489",133,"6,863","3,788","3,075","7,315"
North Lanarkshire,"251,388","14,320","3,363",9,"3,354","10,957","5,478","4,376",866,237,"45,791","29,332","25,018","2,838","1,204",272,"9,463","6,996","37,274","21,724","11,077","3,117","1,356","15,463","4,229","4,144",85,"11,234","11,023",211,"22,008","11,271","9,483","1,254","43,516","13,072","16,586","3,444","6,468",101,"3,005",840,"40,929","3,824","4,992","14,003","17,896",214,"15,078","8,930","6,148","17,009"
Orkney Islands,"15,942",976,224,1,223,752,465,121,153,13,"3,214","2,231","1,937",55,216,23,572,411,"1,512",972,324,159,57,"2,658",769,503,266,"1,889","1,068",821,"1,539",973,485,81,"2,922",678,"1,423",59,354,150,162,96,"2,076",225,71,904,834,42,361,231,130,684
