Scotland's Census 2011 - National Records of Scotland
Table QS112SC - Household composition - People
All people in households

,All people in households,One person household,One person household: Aged 65 and over,One person household: Aged under 65,One family household,One family household: All aged 65 and over,One family household: Married couple,One family household: Married couple: No children,One family household: Married couple: One dependent child,One family household: Married couple: Two or more dependent children,One family household: Married couple: All children non-dependent,One family household: Same-sex civil partnership couple,One family household: Cohabiting couple,One family household: Cohabiting couple: No children,One family household: Cohabiting couple: One dependent child,One family household: Cohabiting couple: Two or more dependent children,One family household: Cohabiting couple: All children non-dependent,One family household: Lone parent family,One family household: Lone parent family: One dependent child,One family household: Lone parent family: Two or more dependent children,One family household: Lone parent family: All children non-dependent,Other household types,Other household types: One dependent child,Other household types: Two or more dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
Perth & Kinross,"142,139","20,875","9,404","11,471","112,478","13,389","68,063","19,572","12,007","25,037","11,447",97,"16,760","6,660","4,074","5,043",983,"14,169","4,763","4,956","4,450","8,786","1,841","1,724",292,377,"4,552"
Renfrewshire,"172,717","31,226","10,795","20,431","131,658","11,494","76,668","17,294","15,445","26,470","17,459",122,"17,851","6,388","4,690","5,420","1,353","25,523","8,112","9,759","7,652","9,833","2,601","2,352",396,359,"4,125"
Scottish Borders,"112,589","18,043","7,989","10,054","89,440","10,713","54,507","16,752","9,191","19,789","8,775",120,"13,523","5,032","3,246","4,533",712,"10,577","3,536","3,917","3,124","5,106",943,"1,162",360,288,"2,353"
Shetland Islands,"22,981","3,189","1,181","2,008","18,351","1,592","11,512","2,762","1,795","4,955","2,000",13,"3,120","1,078",696,"1,218",128,"2,114",650,705,759,"1,441",270,237,2,67,865
South Ayrshire,"111,270","17,380","8,049","9,331","87,145","10,510","51,420","14,340","9,231","17,102","10,747",73,"11,759","4,092","3,009","3,897",761,"13,383","4,473","4,730","4,180","6,745","1,832","1,542",141,329,"2,901"
South Lanarkshire,"310,501","46,648","17,936","28,712","245,927","21,572","150,363","35,152","30,210","51,318","33,683",218,"31,208","11,150","8,223","9,609","2,226","42,566","14,277","14,634","13,655","17,926","5,054","4,563",162,665,"7,482"
Stirling,"85,874","11,505","4,899","6,606","66,587","6,769","41,546","10,052","7,278","16,683","7,533",69,"8,921","3,496","2,037","2,754",634,"9,282","2,795","3,477","3,010","7,782","1,290","1,356","1,772",166,"3,198"
West Dunbartonshire,"90,028","16,163","5,764","10,399","68,070","5,158","37,079","8,596","7,366","11,895","9,222",70,"9,508","3,048","2,592","3,019",849,"16,255","5,469","5,696","5,090","5,795","1,640","1,479",32,216,"2,428"
West Lothian,"173,312","20,911","7,801","13,110","139,834","9,731","85,110","19,994","16,408","32,162","16,546",160,"21,232","7,266","5,448","7,121","1,397","23,601","7,886","9,278","6,437","12,567","3,362","3,201",18,250,"5,736"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

